iter	Passed	Remaining
679	82538	99531
680	82688	99444
681	82738	99237
682	82877	99136
683	83024	99046
684	83199	98989
685	83249	98782
686	83269	98541
687	83415	98449
688	83577	98376
689	83606	98146
690	83787	98095
691	83968	98043
692	84155	97998
693	84311	97917
694	84462	97831
695	84697	97840
696	84850	97754
697	85022	97690
698	85170	97598
699	85342	97534
700	85503	97457
701	85653	97366
702	85829	97306
703	85983	97220
704	86021	97003
705	86160	96900
706	86206	96692
707	86358	96604
708	86533	96541
709	86671	96437
710	86847	96374
711	87010	96298
712	87198	96248
713	87277	96078
714	87325	95874
715	87417	95720
716	87470	95522
717	87591	95399
718	87775	95344
719	87939	95268
720	88087	95173
721	88235	95078
722	88402	95004
723	88563	94924
724	88722	94841
725	88777	94647
726	88918	94545
727	89071	94454
728	89175	94313
729	89345	94240
730	89499	94151
731	89665	94075
732	89757	93920
733	89817	93733
734	89960	93632
735	90101	93529
736	90258	93442
737	90425	93366
738	90605	93302
739	90749	93202
740	90894	93102
741	91004	92967
742	91078	92794
743	91140	92610
744	91172	92396
745	91252	92230
746	91415	92149
747	91564	92053
748	91727	91972
749	91781	91781
750	91955	91711
751	92102	91613
752	92310	91575
753	92338	91358
754	92490	91265
755	92635	91164
756	92719	91004
757	92899	90938
758	92928	90724
759	92999	90552
760	93151	90458
761	93211	90275
762	93380	90198
763	93521	90094
764	93676	90003
765	93853	89932
766	93915	89752
767	94100	89689
768	94195	89540
769	94279	89381
770	94308	89171
771	94456	89072
772	94607	88977
773	94755	88879
774	94804	88688
775	94939	88578
776	95103	88493
777	95275	88417
778	95364	88263
779	95528	88180
780	95691	88095
781	95865	88019
782	95931	87845
783	96099	87764
784	96261	87677
785	96360	87533
786	96458	87388
787	96523	87213
788	96670	87113
789	96785	86984
790	96843	86803
791	96888	86612
792	97054	86529
793	97238	86461
794	97302	86287
795	97456	86192
796	97604	86092
797	97783	86020
798	97949	85935
799	98073	85814
800	98227	85719
801	98417	85654
802	98574	85562
803	98678	85423
804	98733	85241
805	98902	85159
806	99095	85097
807	99121	84891
808	99145	84684
809	99318	84604
810	99503	84534
811	99668	84447
812	99858	84382
813	99938	84223
814	100107	84139
815	100241	84025
816	100345	83887
817	100508	83798
818	100652	83692
819	100798	83588
820	100823	83385
821	100996	83303
822	101185	83234
823	101354	83150
824	101534	83073
825	101560	82871
826	101748	82801
827	101913	82712
828	101984	82547
829	102067	82392
830	102256	82321
831	102305	82139
832	102412	82003
833	102488	81843
834	102526	81653
835	102561	81460
836	102695	81346
837	102859	81256
838	103009	81155
839	103111	81016
840	103187	80856
841	103347	80763
842	103525	80683
843	103707	80606
844	103851	80500
845	104010	80405
846	104238	80363
847	104412	80279
848	104474	80109
849	104626	80008
850	104794	79919
851	104980	79844
852	105161	79765
853	105345	79687
854	105451	79551
855	105635	79473
856	105728	79327
857	105893	79235
858	106086	79163
859	106256	79074
860	106445	78999
861	106627	78919
862	106706	78762
863	106886	78680
864	106987	78539
865	107167	78457
866	107235	78293
867	107416	78211
868	107652	78169
869	107721	78005
870	107793	77843
871	107815	77647
872	108004	77570
873	108186	77488
874	108387	77419
875	108549	77322
876	108632	77169
877	108668	76983
878	108845	76897
879	108934	76749
880	109038	76611
881	109217	76526
882	109414	76454
883	109608	76379
884	109766	76278
885	109930	76181
886	110100	76089
887	110268	75995
888	110459	75917
889	110622	75819
890	110657	75634
891	110837	75548
892	110891	75376
893	111074	75292
894	111273	75218
895	111390	75088
896	111410	74894
897	111485	74737
898	111617	74618
899	111649	74432
900	111833	74348
901	111975	74236
902	112126	74130
903	112339	74064
904	112508	73969
905	112705	73893
906	112731	73704
907	112864	73585
908	113033	73490
909	113201	73394
910	113358	73290
911	113534	73199
912	113704	73104
913	113789	72954
914	113945	72850
915	114105	72748
916	114214	72613
917	114404	72531
918	114562	72427
919	114727	72327
920	114819	72183
921	114981	72081
922	115165	71993
923	115280	71863
924	115448	71765
925	115586	71648
926	115756	71551
927	115865	71417
928	116036	71320
929	116252	71251
930	116478	71188
931	116660	71098
932	116730	70939
933	116890	70835
934	116918	70651
935	117069	70541
936	117215	70429
937	117401	70340
938	117558	70234
939	117709	70124
940	117869	70020
941	118036	69919
942	118215	69826
943	118253	69649
944	118425	69551
945	118574	69440
946	118783	69363
947	118952	69263
948	119127	69166
949	119292	69063
950	119468	68967
951	119660	68880
952	119753	68735
953	119916	68631
954	119960	68458
955	120134	68360
956	120189	68195
957	120228	68020
958	120415	67929
959	120495	67778
960	120701	67698
961	120862	67592
962	121042	67496
963	121200	67389
964	121361	67283
965	121519	67175
966	121668	67062
967	121835	66958
968	122026	66868
969	122183	66759
970	122394	66680
971	122495	66540
972	122671	66442
973	122848	66343
974	123017	66240
975	123196	66142
976	123363	66038
977	123437	65883
978	123617	65786
979	123785	65682
980	123940	65571
981	124097	65460
982	124125	65282
983	124301	65182
984	124362	65021
985	124522	64913
986	124686	64806
987	124832	64690
988	125006	64588
989	125177	64485
990	125240	64326
991	125335	64183
992	125492	64073
993	125653	63964
994	125751	63823
995	125909	63713
996	125957	63547
997	126136	63447
998	126302	63340
999	126374	63187
1000	126536	63078
1001	126713	62977
1002	126762	62812
1003	126948	62715
1004	127097	62600
1005	127144	62434
1006	127296	62320
1007	127470	62217
1008	127581	62083
1009	127742	61974
1010	127770	61799
1011	127913	61681
1012	128088	61578
1013	128199	61444
1014	128374	61341
1015	128450	61190
1016	128593	61072
1017	128764	60967
1018	128940	60864
1019	129087	60747
1020	129265	60644
1021	129452	60546
1022	129635	60445
1023	129678	60280
1024	129872	60184
1025	129960	60040
1026	130122	59930
1027	130286	59820
1028	130447	59709
1029	130583	59586
1030	130753	59479
1031	130928	59374
1032	131113	59273
1033	131150	59106
1034	131320	58999
1035	131433	58866
1036	131502	58713
1037	131664	58601
1038	131858	58504
1039	131961	58367
1040	132146	58266
1041	132179	58098
1042	132339	57985
1043	132522	57883
1044	132686	57772
1045	132879	57674
1046	133039	57561
1047	133207	57451
1048	133263	57294
1049	133327	57140
1050	133486	57027
1051	133683	56929
1052	133840	56815
1053	133878	56650
1054	134051	56543
1055	134225	56435
1056	134361	56312
1057	134540	56207
1058	134675	56082
1059	134845	55973
1060	135021	55866
1061	135198	55759
1062	135231	55593
1063	135389	55479
1064	135560	55369
1065	135739	55263
1066	135892	55146
1067	136046	55030
1068	136110	54876
1069	136276	54765
1070	136316	54603
1071	136488	54493
1072	136664	54385
1073	136836	54275
1074	137025	54172
1075	137189	54059
1076	137396	53963
1077	137508	53829
1078	137669	53715
1079	137823	53597
1080	137952	53471
1081	138121	53359
1082	138333	53263
1083	138506	53153
1084	138661	53036
1085	138881	52943
1086	139081	52843
1087	139241	52727
1088	139394	52608
1089	139553	52492
1090	139757	52393
1091	139833	52245
1092	140008	52134
1093	140173	52020
1094	140338	51905
1095	140488	51785
1096	140688	51684
1097	140877	51577
1098	141051	51466
1099	141216	51351
1100	141409	51246
1101	141566	51128
1102	141646	50982
1103	141781	50856
1104	141942	50739
1105	142108	50624
1106	142282	50512
1107	142364	50367
1108	142400	50206
1109	142573	50093
1110	142747	49980
1111	142971	49885
1112	143132	49768
1113	143298	49652
1114	143475	49540
1115	143501	49376
1116	143669	49261
1117	143869	49157
1118	144045	49044
1119	144219	48931
1120	144382	48814
1121	144559	48701
1122	144784	48605
1123	144974	48496
1124	145125	48375
1125	145296	48259
1126	145469	48145
1127	145624	48025
1128	145854	47929
1129	146013	47809
1130	146059	47653
1131	146213	47532
1132	146380	47415
1133	146545	47297
1134	146726	47185
1135	146879	47063
1136	147046	46946
1137	147219	46830
1138	147400	46717
1139	147599	46610
1140	147815	46508
1141	148000	46395
1142	148160	46275
1143	148332	46159
1144	148497	46040
1145	148647	45917
1146	148837	45806
1147	149014	45690
1148	149201	45578
1149	149404	45470
1150	149595	45359
1151	149794	45250
1152	149992	45140
1153	150163	45022
1154	150350	44909
1155	150506	44787
1156	150665	44665
1157	150815	44541
1158	150980	44421
1159	151163	44306
1160	151319	44183
1161	151489	44064
1162	151738	43969
1163	151817	43823
1164	151995	43706
1165	152181	43592
1166	152353	43473
1167	152553	43362
1168	152737	43247
1169	152913	43129
1170	153074	43007
1171	153223	42881
1172	153259	42724
1173	153432	42605
1174	153615	42489
1175	153791	42371
1176	153963	42251
1177	154132	42131
1178	154346	42023
1179	154522	41904
1180	154684	41781
1181	154857	41662
1182	155054	41548
1183	155220	41427
1184	155382	41304
1185	155564	41186
1186	155763	41073
1187	155931	40951
1188	156120	40835
1189	156271	40709
1190	156460	40592
1191	156649	40476
1192	156839	40360
1193	156994	40234
1194	157177	40116
1195	157349	39995
1196	157513	39871
1197	157699	39753
1198	157895	39638
1199	158095	39523
1200	158258	39399
1201	158408	39272
1202	158583	39151
1203	158770	39033
1204	158924	38906
1205	159121	38790
1206	159315	38673
1207	159504	38555
1208	159689	38436
1209	159891	38321
1210	160105	38208
1211	160272	38084
1212	160438	37960
1213	160606	37836
1214	160811	37721
1215	160978	37596
1216	161175	37479
1217	161371	37361
1218	161563	37243
1219	161745	37122
1220	161909	36996
1221	162096	36876
1222	162280	36755
1223	162455	36632
1224	162627	36508
1225	162802	36384
1226	162976	36261
1227	163153	36138
1228	163343	36018
1229	163539	35898
1230	163711	35774
1231	163869	35646
1232	164039	35521
1233	164203	35395
1234	164384	35272
1235	164555	35147
1236	164770	35031
1237	164986	34916
1238	165164	34792
1239	165361	34672
1240	165585	34558
1241	165767	34434
1242	165959	34313
1243	166162	34194
1244	166325	34066
1245	166523	33946
1246	166682	33817
1247	166840	33688
1248	167013	33563
1249	167164	33432
1250	167337	33306
1251	167517	33182
1252	167688	33055
1253	167849	32927
1254	168021	32800
1255	168209	32677
1256	168368	32548
1257	168550	32423
1258	168723	32297
1259	168887	32169
1260	169041	32038
1261	169211	31911
1262	169380	31784
1263	169537	31654
1264	169765	31537
1265	169951	31412
1266	170109	31282
1267	170291	31157
1268	170471	31031
1269	170654	30905
1270	170829	30778
1271	171033	30656
1272	171211	30530
1273	171388	30403
1274	171555	30274
1275	171734	30147
1276	171972	30031
1277	172153	29904
1278	172340	29778
1279	172551	29657
1280	172737	29531
1281	172955	29410
1282	173122	29281
1283	173306	29154
1284	173513	29031
1285	173735	28910
1286	173936	28786
1287	174138	28662
1288	174320	28535
1289	174545	28414
1290	174740	28288
1291	174961	28167
1292	175153	28040
1293	175306	27908
1294	175495	27781
1295	175664	27650
1296	175835	27520
1297	176016	27392
1298	176211	27265
1299	176404	27139
1300	176560	27006
1301	176740	26877
1302	176911	26747
1303	177097	26618
1304	177237	26483
1305	177393	26350
1306	177556	26219
1307	177736	26089
1308	177895	25957
1309	178079	25828
1310	178223	25693
1311	178394	25562
1312	178554	25430
1313	178746	25301
1314	178946	25174
1315	179111	25042
1316	179287	24912
1317	179456	24780
1318	179621	24648
1319	179830	24522
1320	180010	24392
1321	180222	24266
1322	180385	24133
1323	180528	23997
1324	180752	23873
1325	181007	23752
1326	181187	23621
1327	181344	23487
1328	181501	23353
1329	181681	23222
1330	181871	23092
1331	182046	22960
1332	182214	22828
1333	182377	22694
1334	182599	22568
1335	182774	22436
1336	182962	22305
1337	183132	22172
1338	183304	22040
1339	183519	21912
1340	183708	21782
1341	183916	21653
1342	184091	21520
1343	184285	21390
1344	184477	21259
1345	184655	21126
1346	184852	20996
1347	185043	20865
1348	185203	20730
1349	185368	20596
1350	185560	20465
1351	185737	20332
1352	185908	20198
1353	186124	20069
1354	186316	19937
1355	186502	19805
1356	186697	19674
1357	186883	19541
1358	187062	19408
1359	187246	19275
1360	187439	19143
1361	187627	19010
1362	187818	18878
1363	187994	18744
1364	188186	18611
1365	188374	18478
1366	188580	18347
1367	188767	18214
1368	188937	18079
1369	189156	17949
1370	189322	17813
1371	189533	17682
1372	189706	17547
1373	189929	17417
1374	190091	17281
1375	190280	17147
1376	190470	17013
1377	190684	16882
1378	190845	16745
1379	191022	16610
1380	191187	16474
1381	191348	16338
1382	191531	16203
1383	191702	16067
1384	191880	15932
1385	192081	15798
1386	192253	15663
1387	192413	15526
1388	192638	15394
1389	192808	15258
1390	192983	15122
1391	193163	14986
1392	193370	14853
1393	193548	14717
1394	193738	14582
1395	193965	14450
1396	194131	14313
1397	194306	14176
1398	194507	14042
1399	194688	13906
1400	194905	13772
1401	195083	13636
1402	195241	13498
1403	195421	13362
1404	195626	13227
1405	195798	13090
1406	195981	12954
1407	196161	12817
1408	196360	12681
1409	196529	12544
1410	196706	12407
1411	196875	12269
1412	197073	12134
1413	197284	11998
1414	197499	11863
1415	197664	11725
1416	197859	11589
1417	198049	11452
1418	198225	11315
1419	198424	11178
1420	198588	11040
1421	198771	10903
1422	198993	10767
1423	199184	10630
1424	199383	10493
1425	199605	10358
